한글단어명,영문단어명,단어 전체 명
교평위,PROFAPCM,PROFESSOR APPRAISAL  COMMITTEE
교환,EXCHG,EXCHANGE
교회,CHURCH,CHURCH
구,OLD,OLD
구간,SECT,SECTION
구내,EXT,EXTENSION
구독,SUBSP,SUBSCRIPTION
구매,PURC,PURCHASE
구미,GUMI,GUMI
구분,FG,FLAG
구비,REQ,REQUIRED
구성원,MBR,MEMBER
구조,STR,STRUCTURE
구축물,STRCTR,STRUCTURE
국,COUN,COUNTRY
국내,DOME,DOMESTIC
국내교류,DOME_EXC,DOMESTIC EXCHANGE
국내외,COUNIO,COUNTRY INSIDE/OUTSIDE
국문,KOR,KOREAN
국민,PEOP,PEOPLE
국민기초생활,MINCOST,MINIMUM COST OF LIVING
국민연금,NPN,NATIONAL PENSION
국비,NTNEXPN,NATIONAL EXPENSE
국세청,NTS,THE NATIONAL TAX SERVICE
국외,FRN,FOREIGN COUNTRY
국적,NATI,NATIONALITY
국제,INTE,INTERNATIONAL
국제표준도서번호,ISBN,INTERNATIONAL STANDARD BOOK NUMBER
국제표준정기간행물번호,ISSN,INTERNATIONAL STANDARD SERIAL NUMBER
국책,NAPL,NATIONAL POLICY
군,GUN,GUN
군명,GUNNM,
군번,MIL_NO,MILITARY NUMBER
군별,MIL,MILITARY
군사학,MIL_SCN,MILITARY SCIENCE
군필,MILFIN,MILITARY SERVICE FINISHED
권,VOL,VOLUME
권리,RIGHT,RIGHT
권역,AREA,AREA
권유자,SLCTR,SOLICITOR
권장,RCOM,RECOMMENDATION
권한,PERM,PERMISSION
귀속,REVS,REVERSION
규격,SPEC,SPECIFICATION
규모,SCALE,SCALE
규정,PROV,PROVISION
그룹,GRP,GROUP
그룹웨어,GW,GROUPWARE
그림,IMG,IMAGE
근거,BASI,BASIS
근로,LABOR,LABOR
근로자,LABORR,LABORER
근무,WK,WORK
근무자,WKR,A WORKER
근무지,WKSITE,WORK SITE
근무처별,CBYSITE,CLASSIFIED BY SITE
근속,CWK,CONTINUE WORK
근태,ATTD,WORK ATTITUDE
금요일,FRI,FRIDAY
금일,THEDD,THE DAY
금일업무실시,TBR,TODAY BUSINESS RUN
금학기,PRTM,PRESENT TERM
급,LVL,LEVEL
급량,FOOD,FOOD
급류,LVLPT,LEVEL PART
급수,SECL,SECTION_CLASS
급식비,FDEXPS,FOOD EXPENSE
급여,SALY,SALARY
기,ALD,ALREADY
기간,TERM,TERM 
기계,MCHN,MACHINE
기관,BREU,BUREAU
기구,ORGAN,ORGANIZATION
기금,FUND,FUND
기납부,ALPAI,ALREADY PAID
기념,COMMEM,COMMEMORATION
기능,FUNC,FUNCTION
기대,DEPD,DEPENDANCE
기록,RECD,RECORD
기말,FL,FINAL
기말고사,FLEXM,FINAL EXAMINATION
기법,TECH,TECHNIQUE
기본,BASE,BASE
기부,CNTRIB,CONTRIBUTION
기사,ARTICLE,AN ARTICLE
기산,RECKON,RECKON
기성,SSO,SCHOOL SUPPORT
기수,SEQ,SEQUENCE
기숙사,DORM,DORMITORY
기안,DRAFT,DRAFTING
기안올림,DRAFTSUBM,DRAFT SUBMMIT
기업,CO,COMPANY
기여도,CNTRIBRT,CONTRIBUTE RATE
기온,TMPR,"TEMPARATURE,TEMPORARY"
기자,PMAN,NEWSPAPER MAN
기자재,APRT,APPARATUS
기존,EXTNG,EXISTING
기종,MCHNTP,MACHINE TYPE
기준령,BASICM,BASIS COMMAND
기준소득월액,BSEMMAMT,BASIS EARN MM AMT
기증,DONA,DONATION
기타,ETC,ETC
기표,ATDN,ACCOUNT DECISION
기표자,ATDNR,ACCOUNT DECISIONER
기호,SMB,SYMBOL
기후,WEAT,WEATHER
긴급,EMERG,EMERGENCY
길이,LGTH,LENGTH
깊이,DEP,DEPTH
끼니,MEAL,MEAL
나눔,DIVID,DIVIDED
나머지,REMA,REMAIN
나무,TREE,TREE
나이,AGE,AGE
낙찰,SCFBID,SUCCESFUL BID
난방,HEAT,HEATING
난이도,DIF,DIFFICULT
날짜,DT,DATE
남,MALE,MALE
납,PAID,PAID
납기,PAPRD,"PERIOD, FOR PAYMENT   "
납세조합,TXPYAS,TAX PAYMENT ASSOCIATION
납입,GV,GIVE
낱개,PIECE,PIECE
내,IN,IN
내국세,INDUTY,INLAND DUTY
내부,INSD,INSIDE
내역,CTNT,CONTENT
내외,IO,IN OUT
내용,CNTN,CONTENT
내용년수,DUR_YCNT,DURABLE YEARS
내일,TOMO,TOMORROW
내자,DOFU,DOMESTIC FUND
내장,INTER,INTERIOR
냉방,COLD,COLD
너비,WIDTH,WIDTH
넓이,WDTH,WIDTH
년,YY,YEAR
년간,ANN,AN ANNUAL
년도별,BYYY,BY YEAR
년수,YCNT,YEAR COUNT
년식,VINTG,VINTAGE
년월,YYMM,YEAR MONTH
년월일,YYMMDD,YEAR MONTH DAY
노력,EFRT,EFFORT
노력도,EFRTRT,EFFORT RATE
노조,LABUN,A LABOR UNION
노트,NOTE,NOTE
논리,LOGIC,LOGIC
논문,THSS,THESIS
논문초록,THSS_SMR,THESIS_SUMMARY
논술,STMT,STATEMENT
논증,PROOF,PROOF
농,FARM,FARM
농도,DEPTH,DEPTH
농어촌,FAFV,FARMING AND FISHING VILLAGES
농어촌특별세,FVSTX,FARMING AND FISHING VILLAGES SPECIAL TAX
농특세,FMTAX,FARM TAX
높이,HGHT,HEIGHT
누계,ADSM,ADDING SUM
누적,CUML,CUMULATIVE
누진세,CUMLTAX,CUMULATIVE TAX
능력,ABTY,ABLITY
능률,EFCY,EFFICIENCY
다,MULT,MULT
다름,DIFF,DIFFERENCE
다시,RE,RE
다운로드,DN,DOWNLOAD
다음,NEXT,NEXT
다전공,MULT_MJ,MULTI MAJOR
단가,UNTPRC,UNIT PRICE
단계,STG,STAGE
단과대학,COLG,COLLEGE
단기,STTM,SHORT TERM
단독,SINGLE,SINGLE
단어,WORD,WORD
단위,UNIT,UNIT
단일세율,SGTRT,SINGLE TAX RATE
단체보험,GPINS,GROUP INSURANCE
단축,SHRT,SHORT
단평위,COLGAPCM,GOLLEGE APPRAISAL COMMITTE
달러,USD,US DOLLAR
달성,ACHIV,ACHIVEMENT
담당,RESP,RESPONSIBILITY PERSON
담당자,PSCH,PERSON IN CHARGE
담당팀,CHGTM,CHGTM
담보,SCRT,SECURITY
답,ANSR,ANSWER
답변,RPLY,REPLY
당,PER,PER
당기,TTERM,THIS TERM
당기말,ETTERM,END OF THE THIS TERM
당년,THEYY,THE YEAR
당시,THTM,AT THAT TIME
당연,NECE,NECESSARY
당월,THEMM,THE MONTH
당직,ONDUTY,ONDUTY
대관,LEND,LEND
대교협,KCUE,한국대학교육협의회
대금,PBIL,PAY THE BILL
대기,IDLE,IDLE
대대,BATT,A BATTALION
대리인,RPTT,A REPRESENTATIVE
대리점,FRCS,FRANCHISE
대립,CONFLI,CONFLICT
대변,CR,CREDITOR
대부,LOAN,LOAN
대분류,LCLSF,LARGE CODE
대비,CONTR,CONTRADISTINCTION
대사,SPCH,SPEECH
대신,SUBTT,SUBSTITUTION
대여자,LENDR,LENDER
대외학사,OUTSHAF,OUT BACHELOR
대우,TRMT,TREATMENT
대원,MEMB,MEMBER
대응,ACT,ACTION
대장,LEDG,LEDGER
대조표,SHT,SHEET
대지,LAND,LAND
대차,BALN,THE BALANCE
대출,BORW,BORROWING
대표,RPST,REPRESENTATION
대표자,RPSTR,REPRESENTATIVE
대학(원),UNIV,UNIVERSITY / COLLEGE
대학수학능력시험,CSAT,THE COLLEGE SCHOLASTIC ABILITY TEST
대학원,GRSC,GRADUATE SCHOOL
대회,CNFRC, CONFERENCE
데이터,DATA,DATA
데이터베이스,DB,DATABASE
도,PRVIN,PROVINCE
도급,UNDTAK,UNDERTAKING
도로,ROAD,ROAD
도메인,DOMAIN,DOMAIN
도면,DRWNG,DRAWING
도비라용지,DBPP,DOBIRA PAPER
도서,BOOK,BOOK
도서관,LIBRY,LIBRARY
도수,FQCY,FREQUENCY
도시,CITY,CITY
도움,AID,AN ALLOWANCE; AID
도움말,HLP,HELP
도착,ARV,ARRIVAL
독서,READ,READING
독자,READER,READER
독후감,IMPR,IMPRESSIONS OF A BOOK
동,DONG,DONG
동거,LITO,LIVE TOGETHER
동계,WINT,WINTER
동기,MOTV,MOTIVE
동력,PWR,POWER
동문,ALUM,ALUMNUS
동산,MVAB,MOVABLE PROPERTY
동승,RIDTGD,RIDING TOGETHER
동승자,RIDTGDR,RIDING TOGETHER PERSONS
동시,SYNC,SYNCHRONOUSNESS
동아리,CIRC,CIRCLE
동원,MOBI,MOBILIZATION
동의,CONS,CONSENT
동일,SAME,SAME
동일성,IDENTITY,IDENTITY
동적,DYNC,DYNAMIC
동향,TREND,"A TENDENCY, A TREND, A MOVEMENT"
뒤,BACK,BACK
듣기,LSTNG,LISTENG
등급,GRD,GRADE
등기,REG,REGISTRATION
등록금,TUIT,TUITION
등록자,REGER,UNDEFINED
디렉토리,DIR,DIRECTORY
디자인,DGN,DESIGN
량,QTY,QUANTITY
레이아웃,LAYOUT,LAYOUT
레코드,RECORD,RECORD
레포트,RPRT,A REPORT
로그,LOG,LOG
로그아웃,LOGOUT,LOGOUT
로그인,LOGIN,LOGIN
률,RATE,RATE
리,RI,RI
리더스,LDRS,LEADERS
리더십,LEADER,LEADERSHIP
리스,LESE,LEASE
리프트,LIFT,LIFT
림,WDLAND,WOODLAND
마감,CLS,CLOSING
마력,HRSPWR,HORSEPOWER
마스크비트,MSKBIT,MASK BITS
마일,MILE,MILEAGE
마지막,LST,LAST
만기,EXPR,EXPIRATION
만점,FMAK,FULL MARKS
만족도,SATI_MESU,SATISFACTION MEASUREMENT
말소,DEL,DELETE
말하기,SPK,"SPEAKING
"
매각,SALE,SALE
매뉴얼,MANU,MANUAL
매도,SELL,SELL
매매,TRD,TRADING
매수,SHTS,SHEETS
매입,BUY,BUY
매장,STOR,STORE
매체,MEDIUM,MEDIUM
맥박,PULSE,PULSATION
맥어드레스,MADDR,MAC(MEDIA ACCESS CONTROL) ADDRESS
맵핑,MAPNG,MAPPING
머리,HDR,HEADER
메뉴,MENU,MENU
메모,MEMO,MEMO
메모리,MEM,MEMORY
메세지,MSG,MESSAGE
메일,MAIL,MAIL
멘토,MNTO,MENTOR
멘토링,MNTR,MENTORING
멘티,MNTE,MENTEE
면,PAGE,PAGE
면담,INTRV,INTERVIEW
면세,EXMP_TAX,EXEMPTION FROM TAXATION
면제,EXMP,EXEMPT
면지,ENDPP,ENDPAPERS
면허,LIC,LICENSE
멸실,EXTIN,EXTINCTION
명단,LIST,LIST
명령,COMD,COMMAND
명예,HNR,HONOR
명의,NOMN,NOMINAL
명의자,NOMNR,A NOMINAL PERSON
명일주요예정사항,TMEC,TOMORROW MAIN EXPECTATION CONTENT
모,MOM,MOTHER
모금,COLT,COLLECTION
모니터링,MNTRG,MONITORING
모델,MDL,MODEL
모듈,MODL,MODULE
모의,IMIT,IMITATE
모임,MEETNG,MEETING
모집전형,SELT,SELECTION
목,ITEM,ITEM
목요일,THU,THURSDAY
목적,PURP,PURPOSE
목적지,DEST,DESTINATION
목차,CTNTBK,THE CONTENTS OF A BOOK
몫,ASSN,ASSIGNMENT
무급,UNPAID,"UNPAID, 




NONPAYMENT"
무기,ULMT,UNLIMITTED
무료,FREE,FREE
무선랜,WLAN,WIRELESS LAN
무시험,NOEXM,NO EXAMINATION
무시험검정,LWEX,LICENSE WITHOUT  EXAMINATION
무용,DANCE,DANCE
무자격,DQUAL,DISQUALIFICATION
무효,INVLD,INVALIDITY
문구,PHRS,PHRASE
문서,DOC,DOCUMENT
문예,LITR,LITERATURE
문의,QST,QUESTION
문자,CHR,CHARACTER
문제,PRBL,PROBLEM
문헌,LTTR,LITERATURE
문화재,CULTAST,CUTURAL ASSETS
물가배수,WTSD_DRNG,WATERSIDE DRAINAGE
물류,DSTRB,DISTRIBUTION
물리,PHYSIC,PHYSICAL
물품,GD,GOODS
미,UN,UN
미결정,PDNCY,PENDENCY
미경과,UNPASS,UNPASS
미달,LACK,LACK
미디어,MEDIA,MEDIA
미래,FUTR,FUTURE
미만,LESS,LESS
미배송,NOSHP,NOT SHIPPED
미배정,UNASSN,UN ASSIGNED
미비,UPRPD,UNPREPAREDNESS
미수,UNRCT,UNRECEIPT
미술,ART,ART
미졸,UNGRDT,NOT GRADUATE
미출고,NORELS,NOT RELEASED
미팅,MEET,MEETING
미필,UFSD,UNFINISHED
미흡,SHTG,SHORTAGE
민방위,CIVILDEF,CIVIL DEFENSE
민원,PETIT,PETITION
바닥,FLR,FLOOR
바코드,BARCD,BAR CODE
박,STAY,STAY
박사,PHD,DOCTOR OF PHILOSOPHY
반,CLSS,CLASS
반기,HFYY,HALF YEAR
반납,RTN,RETURN
반납자,RTNR,UNDEFINED
반려,RECA,RECALL
반려자,RECAR,UNDEFINED
반복,REPT,REPEAT
반액,HFAMT,HALF AMOUNT
반영,ADPT,ADOPTION
반올림,ROUND,ROUNDING OFF TO THE NEAREST INTEGER
반입,CRIN,CARRY IN
반장,FOREM,FOREMAN
반출,CROT,CARRY OUT
반출입,CRIO,CARRY IN/OUT
반품,RTNGD,RETURNING GOODS
반환,RET,RETURN
발간,ISSU,ISSUE
발령,OFORD,OFFICIAL ORDER
발령권,OFORD_AUTH,OFFICIAL ORDER AUTHORITY
발명,INVT,INVENTION
발생,OCCR,OCCUR
발송,SEND,SENDING
발신인,ADSR,ADDRESSER
발주,ORDR,ORDER
발표자,PRSNTR,PRESENTER
발표지,ANUN_JNL,ANNOUNCE JOUNAL
방문,VISIT,VISIT
방문자,VISITR,VISITOR
방법,MTHD,METHOD
방사선,RADI,RADIATION
방산물품,DIPROD,DEFENSE INDUSTRY PRODUCT
방지,PRVNT,PREVENT
방학,VACA,VACATION
방향,DIRCT,DIRECTION
배기,VNTL,VENTILATION
배기량,DSCAPA,DISPLACEMENT CAPACITY
배달,DLV,DELIVERY
배달처,DLVPL,DELIVERY PLACE
배당,ALLOT,ALLOTMENT
배부,DISTRB,SHARE
배상,REPRT,REPARATION
배송,SHIP,SHIPPING
배송기사,SHPDRV,SHIP DRIVER
배송비용,SHPCST,SHIP COST
배송처,SHPPLC,SHIP PLACE
배수,MLTPL,MULTIPLE
배열,ARR,ARRAY
배우자,WIFE,WIFE
배점,SCOR,SCORE
배정,ASGN,ASSIGN
배제,EXCP,EXCEPTION
배지,BADGE,BADGE
배출,SCCS,SUCCESSION
백분,PCT,PERCENT
백분위,PCTL,PERCENTILE 
백분율,PCNT,PERCENT
백업,BACKUP,BACKUP
버스,BUS,BUS
버전,VER,VERSION
번,NO,NUMBER
번식,PROPAG,PROPAGATION
번역,TRAN,TRANSLATION
번역문,TRSL,TRANSLATIONS
번지,ADDR,ADDRESS
벌점,DMMRK,DEMERIT
범위,RANGE,RANGE
법원,COUR,COURT
법인,CORP,CORPORATION
법정,FLAW,FIX BY LAW
벤쳐,VNTR,VENTURE
벽,WALL,WALL
변경자,CHGPSN,CHANGE PERSON
변리사,PAT_ATT,A PATENT ATTORNEY
변상,CMPS,COMPENSATION
변환,MOD,CHANGE
별,CLSF,CLASSIFICATION
별칭,ALIAS,ALIAS
병,ILL,ILLNESS
병가,SCKLV,SICK LEAVE
병과,MILBCH,MILITARY BRANCH
병력,SICK,SICKNESS
병무청,MILMP_ADM,THE OFFICE OF MILITARY MANPOWER ADMINISTRATION
병사,SLDR,SOLDIER
병역,MILSV,MILITARY SERVICE
병원,HOSP,HOSPITAL
병적,MLRG,MILITARY REGISTER
보강,SUPP_LT,SUPPLEMENTARY LECTURE
보관,CUTD,CUSTODY
보기,DISP,DISPLAY
보도,NEWS,NEWS
보류,SPND,SUSPENTION
보수,REPA,REPAIR
보수자,REPAR,REPAIR PERSON
보안,SCRTY,SECURITY
보완,SUPP,SUPPLEMENT
보유,POSS,POSSESS
보유자,POSSR,POSSESS PERSON
보육,CARE,CARE
보장,GUAR,GUARANTEE
보전,PRESRV,PRESERVATION
보정,CORR,CORRECTION
보조,ASSI,ASSISTANCE
보조원,ASSTNT,ASSISTANT
보조장,SUPBOOK,SUPPLIMENTARY BOOK
보증,GRNT,GUARANTEE
보증인,GUANTR,GUANTRTEE PERSON
보직,MISS,MISSION
보충역,RSVDTY,RESERVIST DUTY
