한글단어명,영문단어명,단어 전체 명,단어 설명
고등학교,HSCH,HIGH SCHOOL,"중학교를 마친 사람에게 고등 보통 교육과 실업 교육을 실시하는 학교, 인문계와 실업계 두 종류가 있고 수업 연한은 3년이다"
고려,CNSD,CONSIDERATION,
고마움,GRAT,GRATITUDE,
고발자,RLTR,RELATOR,
고사,EXAM,EXAMINATION,
고사장,PLACE,EXAMINATION PLACE,
고속철도,KTX,KTX,
고시,NOTI,NOTICE,
고용,EMPL,EMPLOYMENT,
고용보험,EINS,EMPLOYMENT INSURANCE,
고유,UNI,UNI,
고유번호,ID,IDENTIFICATION NUMBER,
고장,TROB,TROUBLE,
고정,FIX,FIXED,"한번 정한 상태에서 변경하지 않음, 일정한 장소나 상태에 있도록 움직이지 못하게 하다"
고지,NOTI,NOTICE,
고지서,DMPP,DEMAND PAPER,
공간,SPACE,SPACE,
공개,PUBC,PUBLIC,
공고,ANUN,ANNOUNCEMENT,
공공,PBLC,PUBLIC,
공급,SPLY,SUPPLY,
공급사,SUPLCOM,SUPPLIER COMPANY,공급사
공급업체,SUPLCOM,SUPPLIER COMPANY,
공동,COOP,COOPERATION,
공란,BLNK,BLANK,
공모,COLL,COLLECT,
공무원,PUBPERS,PUBLIC OFFICER,
공문,ODOC,OFFICIAL DOCUMENT,
공부,PUBBK,PUBLIC BOOK,
공사,COSTRT,CONSTRUCTION,
공시,ANNC,PUBLIC ANNOUNCEMENT,
공식,FMLT,FOMALITY,
공약,PLG,PLEDGE,
공용,OFCUSE,OFFICIAL USE,
공유,SHARE,SHARE,
공정,PRCS,PROCESS,
공제,DUC,DEDUCTION,
공제회,CRUN,CREDIT UNION,
공중,PBLC,PUBLIC,
공지,NOTI,NOTICE,
공지사항,BOARD,BOARD,
공통,CMMN,COMMON,
공표,PANN,PUBLIC ANNOUNCEMENT,
공학,ENGR,ENGINEERING,
공학인증,ABEEK,ACCREDITION BOARD FOR ENGINEERING EDUCATION OF KOREAA,
공항,AIRP,AIRPORT,공항
공휴일,HLDY,HOLYDAY,
과,DEPT,DEPARTMENT,
과납,OVPAID,OVER PAID,
과다,EXCE,EXCESS,
과락,SBJT_DISQ,SUBJECT DISQUALITY,
과목,SBJT,SUBJECT,
과미납,OVUNPAID,OVER/UNPAID,
과세,TAX,TAX,
과세표준,TXSTD,TAX STANDARD,
과장,MAGNIF,MAGNIFICATION,
과정,CORS,COURSE,
과제,PRJT,PROJECT,
과제물,PRJT,PROJECT,
과제및참고,PRPJ_N_REF,PROJECT AND REFERENCE,
과태료,PNTY,PENALTY,
과학,SCI,SCIENCE,
관,SST,SUBSECTION,
관계,REL,RELATION,
관급,GVRNT_SPLY,GOVERNMENT SUPPLY,
관납,PYGO,PAYMENT TO GOVERNMENT,
관련,CONC,CONCERN,
관리,MNG,MANAGEMENT,"어떤 일을 맡아 관할하고 처리함
[법률정의] (소방장비관리규칙) 소방장비가 언제든지 본래의 성능을 발휘할 수 있도록 점검?보수 등을 하는 것"
관리자,MNGR,MANAGER,
관보,GAZETTE,GAZETTE,
관생,LIVSTD,LIVING STUDENT,
관세,CSTMS,CUSTOMS,
관세감면,TXRD,TAX REDUCTION,
관심,INTEREST,INTEREST,
관장,MNGT,MANAGEMENT,
관적,RSDREG,RESIDENCE REGISTER,
관직,PUBOFC,PUBLIC OFFICE,
관찰,OBSV,OBSERVATION,
광,LRG,LARGE,
광고,AD,ADVERTISEMENT,
교과,SUBMATT,SUBJECT MATTER,
교과과정,CURI,CURICULAM,
교과목,SBJT,SUBJECT,
교과서,TXBOOK,TEXT BOOK,
교관,INSTRT,INSTRUCTOR,
교구,PARI,PARISH,
교내,INCAMP,IN CAMPUS,
교내외,SHIO,SCHOOL INSIDE/OUTSIDE,
교류,INTCH,INTERCHANGE,
교복,SCHUNF,STUDENT UNIFORM,
교부,DELI,DELIVERY,
교비,SHAMT,SCHOOL AMOUNT,
교사,TEACHER,TEACHER,
교수,PROF,PROFESSOR,
교시,LTTM,LECTURE TIME,
교신,CRSP,CORRESPONDENCE,
교양,CULT,CULTURE,
교외,OUTCAMP,OUTSIDE  THE CAMPUS(SCHOOL),
교우,FRIEND,,친구
교원,SPRF,SCHOOL PROFESSOR,
교육,EDU,EDUCATION DEPARTMENT,
교육과정,CURI,CURICULAM,
교육부,MOE,MINISTRY OF EDUCATION & HUMAN RESOURCES DEVELOPMENT ,
교육비,EDAMT,EDUCATION AMOUNT,
교육원,EDUCTR,EDUCATIONAL CENTER,
교육인적자원부,MOE,MINISTRY OF EDUCATION & HUMAN RESOURCES DEVELOPMENT ,
교장,SCHM,SCHOOL MASTER,
교재,TXBOOK,TEXT BOOK,
교정,PFRD,PROOFREADE,
교정자,PFRDR,PROOFREADER,
교지,SCHMAGNE,SCHOOL MAGAZINE,
교직,TCHR,TEACHER TRAINING COURSE,
교직원,STAFF,STAFF,
교직원공제회,KTCU,THE KOREAN TEACHERS' CREDIT UNION,
교차,CROSS,CROSS,
교체,SUBST,SUBSTITUTE ,
교통,TRAF,TRAFFIC,
교통편,TRAF,TRAFFIC,
교평위,PROFAPCM,PROFESSOR APPRAISAL  COMMITTEE,
교환,EXCHG,EXCHANGE,
교회,CHURCH,CHURCH,
구,OLD,OLD,
구간,SECT,SECTION,
구내,EXT,EXTENSION,
구독,SUBSP,SUBSCRIPTION,
구매,PURC,PURCHASE,
구미,GUMI,GUMI,구미
구분,FG,FLAG,일정한 기준에 따라 전체를 몇 개로 갈라 나눔.
구비,REQ,REQUIRED,
구성원,MBR,MEMBER,
구입,PURC,PURCHASE,
구조,STR,STRUCTURE,
구좌,BACCT,BANK ACCTOUNT,
구축물,STRCTR,STRUCTURE,
국,COUN,COUNTRY,
국가,COUN,COUNTRY,
국내,DOME,DOMESTIC,
국내교류,DOME_EXC,DOMESTIC EXCHANGE,
국내외,COUNIO,COUNTRY INSIDE/OUTSIDE,
국문,KOR,KOREAN,
국민,PEOP,PEOPLE,"국민, 백성, 동포"
국민기초생활,MINCOST,MINIMUM COST OF LIVING,
국민연금,NPN,NATIONAL PENSION,
국비,NTNEXPN,NATIONAL EXPENSE,
국세청,NTS,THE NATIONAL TAX SERVICE,
국외,FRN,FOREIGN COUNTRY,
국적,NATI,NATIONALITY,
국제,INTE,INTERNATIONAL,
국제표준도서번호,ISBN,INTERNATIONAL STANDARD BOOK NUMBER,
국제표준정기간행물번호,ISSN,INTERNATIONAL STANDARD SERIAL NUMBER,
국책,NAPL,NATIONAL POLICY,
군,GUN,GUN,행정 구역 단위 군 
군,MIL,MILITARY,
군명,GUNNM,,
군번,MIL_NO,MILITARY NUMBER,군인 개인마다 주어지는 고유 번호.
군별,MIL,MILITARY,
군사학,MIL_SCN,MILITARY SCIENCE,
군필,MILFIN,MILITARY SERVICE FINISHED,
권,VOL,VOLUME,
권리,RIGHT,RIGHT,
권역,AREA,AREA,권역
권유자,SLCTR,SOLICITOR,
권장,RCOM,RECOMMENDATION,
권한,PERM,PERMISSION,
귀속,REVS,REVERSION,
규격,SPEC,SPECIFICATION,
규모,SCALE,SCALE,
규정,PROV,PROVISION,규칙으로 정함
그룹,GRP,GROUP,
그룹웨어,GW,GROUPWARE,
그림,IMG,IMAGE,
근거,BASI,BASIS,
근로,LABOR,LABOR,
근로자,LABORR,LABORER,
근무,WK,WORK,
근무자,WKR,A WORKER,
근무지,WKSITE,WORK SITE,
근무처,WKSITE,WORK SITE,
근무처별,CBYSITE,CLASSIFIED BY SITE,
근속,CWK,CONTINUE WORK,
근태,ATTD,WORK ATTITUDE,
금,AMT,AMOUNT,돈의 액수.
금액,AMT,AMOUNT,돈의 액수.
금요일,FRI,FRIDAY,
금일,THEDD,THE DAY,
금일업무실시,TBR,TODAY BUSINESS RUN,
금학기,PRTM,PRESENT TERM,
급,LVL,LEVEL,
급량,FOOD,FOOD,
급류,LVLPT,LEVEL PART,
급수,SECL,SECTION_CLASS,
급식비,FDEXPS,FOOD EXPENSE,
급여,SALY,SALARY,
기,ALD,ALREADY,
기간,TERM,TERM ,어느 일정한 시기부터 다른 어느 일정한 시기까지의 사이.
기계,MCHN,MACHINE,
기관,BREU,BUREAU,
기구,ORGAN,ORGANIZATION,
기금,FUND,FUND,
기기,MCHN,MACHINE,
기납부,ALPAI,ALREADY PAID,
기념,COMMEM,COMMEMORATION,
기능,FUNC,FUNCTION,
기대,DEPD,DEPENDANCE,
기록,RECD,RECORD,
기말,FL,FINAL,
기말고사,FLEXM,FINAL EXAMINATION,
기법,TECH,TECHNIQUE,
기본,BASE,BASE,
기부,CNTRIB,CONTRIBUTION,
기사,ARTICLE,AN ARTICLE,
기산,RECKON,RECKON,
기성,SSO,SCHOOL SUPPORT,
기성회,SSO,SCHOOL SUPPORTING ORGANIZATION,
기수,SEQ,SEQUENCE,일정한 기간씩 되풀이되는 일의 하나하나의 과정의 차례순번을 의미. 
기숙사,DORM,DORMITORY,
기술,TECH,TECHNIQUE,
기안,DRAFT,DRAFTING,사업이나 활동 계획의 초안(草案)을 만듦
기안올림,DRAFTSUBM,DRAFT SUBMMIT,
기업,CO,COMPANY,
기여,CNTRIB,CONTRIBUTION,
기여도,CNTRIBRT,CONTRIBUTE RATE,
기온,TMPR,"TEMPARATURE,TEMPORARY",
기일,TERM,TERM,
기자,PMAN,NEWSPAPER MAN,
기자재,APRT,APPARATUS,
기존,EXTNG,EXISTING,
기종,MCHNTP,MACHINE TYPE,
기준,BASI,BASIS,
기준령,BASICM,BASIS COMMAND,
기준소득월액,BSEMMAMT,BASIS EARN MM AMT,
기증,DONA,DONATION,
기초,BASE,BASE,
기타,ETC,ETC,
기표,ATDN,ACCOUNT DECISION,
기표자,ATDNR,ACCOUNT DECISIONER,
기한,TERM,TERM,
기호,SMB,SYMBOL,어떠한 뜻을 나타내기 위하여 정한 기호
기획,PLAN,PLAN,
기후,WEAT,WEATHER,
긴급,EMERG,EMERGENCY,
길이,LGTH,LENGTH,한끝에서 다른 한끝까지의 거리.
깊이,DEP,DEPTH,
끝,FL,FINAL,
끼니,MEAL,MEAL,
나누기,SHARE,SHARE,
나눔,DIVID,DIVIDED,
나머지,REMA,REMAIN,
나무,TREE,TREE,
나이,AGE,AGE,사람이나 생물이 나서 살아온 햇수
낙찰,SCFBID,SUCCESFUL BID,
난방,HEAT,HEATING,
난이도,DIF,DIFFICULT,
날씨,WEAT,WEATHER,
날짜,DT,DATE,
남,MALE,MALE,
납,PAID,PAID,
납기,PAPRD,"PERIOD, FOR PAYMENT   ",
납부,PAID,PAID,
납세조합,TXPYAS,TAX PAYMENT ASSOCIATION,
납입,GV,GIVE,
납품,DELI,DELIVERY,
낱개,PIECE,PIECE,
내,IN,IN,
내국세,INDUTY,INLAND DUTY,
내규,PROV,PROVISION,
내부,INSD,INSIDE,
내신,SBJT,SUBJECT,
내역,CTNT,CONTENT,
내외,IO,IN OUT,
내용,CNTN,CONTENT,"말, 글, 그림, 연출 따위의 모든 표현 매체 속에 들어 있는 것. 또는 그런 것들로 전하고자 하는 것"
내용년수,DUR_YCNT,DURABLE YEARS,
내일,TOMO,TOMORROW,
내자,DOFU,DOMESTIC FUND,
내장,INTER,INTERIOR,
냉방,COLD,COLD,
너비,WIDTH,WIDTH,
넓이,WDTH,WIDTH,
년,YY,YEAR,
년간,ANN,AN ANNUAL,
년도,YY,YEAR,일정한 기간 단위로서의 그해.
년도별,BYYY,BY YEAR,
년수,YCNT,YEAR COUNT,해의 수
년식,VINTG,VINTAGE,
년월,YYMM,YEAR MONTH,년도와 월
년월수,YMCNT,YMCNT,
년월일,YYMMDD,YEAR MONTH DAY,
노동,LABOR,LABOR,
노력,EFRT,EFFORT,
노력도,EFRTRT,EFFORT RATE,
노정,DIST,DISTANCE,
노조,LABUN,A LABOR UNION,
노트,NOTE,NOTE,
녹화,RECD,RECORD,
논리,LOGIC,LOGIC,
논문,THSS,THESIS,
논문초록,THSS_SMR,THESIS_SUMMARY,
논술,STMT,STATEMENT,
논증,PROOF,PROOF,
농,FARM,FARM,
농도,DEPTH,DEPTH,
농어촌,FAFV,FARMING AND FISHING VILLAGES,
농어촌특별세,FVSTX,FARMING AND FISHING VILLAGES SPECIAL TAX,
농업,FARM,FARM,
농특세,FMTAX,FARM TAX,
높이,HGHT,HEIGHT,높은 정도.
누계,ADSM,ADDING SUM,
누락,OMIT,OMISSION,
누락자,OMIT,OMISSION,
누적,CUML,CUMULATIVE,
누진,CUML,CUMULATIVE,
누진세,CUMLTAX,CUMULATIVE TAX,
능력,ABTY,ABLITY,
능률,EFCY,EFFICIENCY,
다,MULT,MULT,
다량,MULT,MULT,
다름,DIFF,DIFFERENCE,
다시,RE,RE,
다운로드,DN,DOWNLOAD,
다음,NEXT,NEXT,
다전공,MULT_MJ,MULTI MAJOR,
단,GRP,GROUP,
단가,UNTPRC,UNIT PRICE,물건 한 단위(單位)의 가격.
단계,STG,STAGE,
단과대학,COLG,COLLEGE,
단기,STTM,SHORT TERM,
단독,SINGLE,SINGLE,
단어,WORD,WORD,
단위,UNIT,UNIT,"길이, 무게, 수효, 시간 따위의 수량을 수치로 나타낼 때 기초가 되는 일정한 기준"
단일,SINGLE,SINGLE,
단일세율,SGTRT,SINGLE TAX RATE,
단체,GRP,GROUP,
단체보험,GPINS,GROUP INSURANCE,
단축,SHRT,SHORT,
단평위,COLGAPCM,GOLLEGE APPRAISAL COMMITTE,
달러,USD,US DOLLAR,
달리기,RACE,RACE,
달성,ACHIV,ACHIVEMENT,
담당,RESP,RESPONSIBILITY PERSON,
담당자,PSCH,PERSON IN CHARGE,어떤 일을 맡아서 하는 사람
담당팀,CHGTM,CHGTM,
담보,SCRT,SECURITY,
답,ANSR,ANSWER,
답변,RPLY,REPLY,부름이나 물음에 응하여 답함.
답변,RPLY,ANSWER,
당,PER,PER,
당기,TTERM,THIS TERM,
당기말,ETTERM,END OF THE THIS TERM,
당년,THEYY,THE YEAR,
당시,THTM,AT THAT TIME,
당연,NECE,NECESSARY,
당월,THEMM,THE MONTH,
당일,THEDD,THE DAY,오늘
당직,ONDUTY,ONDUTY,
대,LRG,LARGE,
대관,LEND,LEND,
대교협,KCUE,한국대학교육협의회,
대금,PBIL,PAY THE BILL,
대기,IDLE,IDLE,
대대,BATT,A BATTALION,
대륙,CNTN,CONTINENT,
대리,SUBST,SUBSTITUTE ,대신하여 일을 처리하다
대리인,RPTT,A REPRESENTATIVE,
대리점,FRCS,FRANCHISE,대리상(代理商)의 영업소
대립,CONFLI,CONFLICT,
대민,PBLC,PUBLIC,
대변,CR,CREDITOR,
대부,LOAN,LOAN,
대분류,LCLSF,LARGE CODE,
대비,CONTR,CONTRADISTINCTION,
대사,SPCH,SPEECH,"연극, 영화, 드라마 따위에서 배우가 하는 말"
대상,OBJ,OBJECT,어떤 일의 상대 또는 목표나 표적이 되는 것
대수,CNT,COUNT,
대신,SUBTT,SUBSTITUTION,
대여,LEND,LEND,"돈이나 물건 따위를 빌려 줌, 나중에 돌려받기로 하고 일정한 값을 받고 얼마 동안 쓰게 하다"
대여금,LOAN,LOAN,
대여자,LENDR,LENDER,
대외학사,OUTSHAF,OUT BACHELOR,"국제교환교류, 국내교환교류, 특별수강생, 방문학생, 국제하계강좌 수강생 등 정규 학생 이외 학생에 대한 분류"
대우,TRMT,TREATMENT,
대원,MEMB,MEMBER,
대응,ACT,ACTION,대응
대장,LEDG,LEDGER,
대조표,SHT,SHEET,
대지,LAND,LAND,
대차,BALN,THE BALANCE,
대체,SUBST,SUBSTITUTE ,
대출,BORW,BORROWING,
대표,RPST,REPRESENTATION,
대표자,RPSTR,REPRESENTATIVE,
대학,COLG,COLLEAGE,대학내의 기관 성격으로 단과대학이나 대학원을 지칭하는 말
대학,UNIV,UNIVERSITY,최고급의 공공 교육 및 연구 기관
대학(원),UNIV,UNIVERSITY / COLLEGE,단과 대학 또는 대학원
대학교,UNIV,UNIVERSITY,
대학수학능력시험,CSAT,THE COLLEGE SCHOLASTIC ABILITY TEST,
대학원,GRSC,GRADUATE SCHOOL,
대행,SUBTT,SUBSTITUTION,어떤 권한이나 직무를 대신하는 사람
대회,CNFRC, CONFERENCE,
데이터,DATA,DATA,
데이터베이스,DB,DATABASE,
도,PRVIN,PROVINCE,
